id;category;title;body;amenities;bathrooms;bedrooms;currency;fee;has_photo;pets_allowed;price;price_display;price_type;square_feet;address;cityname;state;latitude;longitude;source;time
8623;5668610646;housing/rent/apartment;Three BR 128 Magazine Street;This unit is located at 128 Magazine Street, Dallas, 30157, GAMonthly rental rates range from $1149We have 3 beds units available for rent;Dishwasher,Refrigerator;2;3;USD;No;Thumbnail;Cats,Dogs;1149;$1,149;Monthly;1340;128 Magazine St;Dallas;GA;33.9217;-84.8634;RentLingo;1577358343
3516;5668614464;housing/rent/apartment;One BR 11775 Wadsworth Blvd;This unit is located at 11775 Wadsworth Blvd, Broomfield, 80020, COMonthly rental rates range from $1406 - $2151We have one - three beds units available for rent Apartment features include:-- Refrigerator- Fitness facilities- Fireplace- Air conditioner- Furnished- Dishwasher- In-Unit Laundry- Controlled Access;Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Hot Tub,Parking,Pool,Refrigerator,View;1;1;USD;No;Thumbnail;None;1406;$1,406;Monthly;704;11775 Wadsworth Boulevard;Broomfield;CO;39.9156;-105.0876;RentLingo;1577358607
5285;5509045112;housing/rent/apartment;One BR Apartment in Quiet Building - Cincinnati. Pet OK!;Welcome in Forest Park, Ohio! community was designed with your lifestyle in mind. You will enjoy many luxurious amenities and community features, so you can relax and enjoy the benefits of carefree apartments for rent in Forest Park, OH. Whether you are resting on your private deck in your apartment home or lounging by a shared swimming pool, we know you will enjoy your one, 2 or 3 beds apartment in Forest Park, OH. Our Forest Park apartments for rent are located just minutes away from Interstate 275 and Interstate 75, making your morning commute even more convenient. While staying in 1 of our Forest Park apartments you will have easy access to local shopping, dining and entertainment, as well as some of the top schools in your area. Your Forest Park apartments are near Fairfield Middle School, Hope Academy and Winton Woods High School, among others. our on-site apartment management team today. Income Requirement: Must have 3. 0x the rent in total household income before taxes, include income from all adults.;Parking,Patio/Deck,Pool;1;1;USD;No;Yes;Cats,Dogs;850;$850;Monthly;831;null;Cincinnati;OH;39.2858;-84.5220;RentDigs.com;1568769865
5879;5668617994;housing/rent/apartment;Two BR 101 Shamrock Circle;This unit is located at 101 Shamrock Circle, Pendleton, 46064, INMonthly rental rates range from $1199 - $1400We have 2 beds units available for rent Apartment features include:-- Balcony, Deck, Patio- Refrigerator- Dishwasher- On-Site Laundry- Fitness facilities- Air conditioner- In-Unit Laundry- Garbage Disposal;Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Patio/Deck,Playground,Pool,Refrigerator;2;2;USD;No;Thumbnail;Cats,Dogs;1199;$1,199;Monthly;895;101 Shamrock Cir;Pendleton;IN;39.9925;-85.7729;RentLingo;1577358826
9377;5668643253;housing/rent/apartment;Three BR 1446 Eberhart;This unit is located at 1446 Eberhart, Edwardsville, 62025, ILMonthly rental rates range from $1400We have 3 beds units available for rent;null;2;3;USD;No;Thumbnail;Dogs;1400;$1,400;Monthly;1776;1446 Eberhart;Edwardsville;IL;38.8098;-89.9522;RentLingo;1577360557
1701;5509166495;housing/rent/apartment;Apartment, 581 sq. ft. - in a great area.;luxurious Island Apartments on Mercer Island These lovely apartment homes redefine the meaning of upscale living on Mercer Island. Designed by Mithun Architects, Island provides a vast array of amenities ranging from essentials such as a 24-hr fitness facilities and a professional center to more luxurious features, including a wine tasting room and our own two-tier waterfall spa. Contemporary and Craftsman-style architecture are blended together in each of our 130 different floor plans and offer spacious, versatile Mercer Island apartments that include state of the art, energy-efficient appliances. Within close proximity of downtown Seattle and numerous public parks in the area, Island is centrally located and ready for you to tour today! We do not accept reusable tenant screening reports. Take advantage of our limited-time-only special offer! Learn More. Other lease term options available with price depending.Price range: $1,499 - $3157.;Gym;1;2;USD;No;Yes;null;1499;$1,499;Monthly;581;null;Mercer Island;WA;47.5632;-122.2265;RentDigs.com;1568777381
8278;5668617161;housing/rent/apartment;Three BR 824 Cedar Break Court;This unit is located at 824 Cedar Break Court, Lexington, 29073, SCMonthly rental rates range from $1175We have 3 beds units available for rent Apartment features include:-- electric range- carpeting- Dishwasher- Central A / C- Refrigerator- Overhead fans- Garage - Attached- Hardwood flooring;Dishwasher,Refrigerator;2;3;USD;No;Thumbnail;Cats,Dogs;1175;$1,175;Monthly;1241;824 Cedar Break CT;Lexington;SC;33.9531;-81.2381;RentLingo;1577358773
1312;5668611130;housing/rent/apartment;One BR 2073 W. Lindsey;This unit is located at 2073 W. Lindsey, Norman, 73069, OKMonthly rental rates range from $620 - $1085We have one - three beds units available for rent Apartment features include:-- Air conditioned- Dishwasher- Garbage Disposal- Pool- Balcony, Deck, Patio- On-Site Laundry- Refrigerator- Surface Parking;Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Internet Access,Parking,Patio/Deck,Pool,Refrigerator;1;1;USD;No;Thumbnail;Cats,Dogs;620;$620;Monthly;540;2073 W Lindsey;Norman;OK;35.2399;-97.4552;RentLingo;1577358395
881;5664594972;housing/rent/apartment;One BR Metric and Cedar Bend;This unit is located at Metric and Cedar Bend, Austin, 78758, TXMonthly rental rates range from $869 - $1239We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;Cats,Dogs;869;$869;Monthly;491;null;Austin;TX;30.3054;-97.7497;RentLingo;1577016866
9865;5659915640;housing/rent/apartment;Five BR 6540 Valley View Rd;This unit is located at 6540 Valley View Rd, Oakland, 94611, CAMonthly rental rates range from $6995We have 5 beds units available for rent;null;4.5;5;USD;No;Thumbnail;None;6995;$6,995;Monthly;2738;6540 Valley View Road;Oakland;CA;37.7904;-122.2151;RentLingo;1576667558
1901;5668627958;housing/rent/apartment;One BR 4539 GUADALUPE STREET;This unit is located at 4539 GUADALUPE STREET, Austin, 78751, TXMonthly rental rates range from $995 - $1350We have one - two beds units available for rent;null;1;1;USD;No;Thumbnail;None;995;$995;Monthly;600;4539 Guadalupe St;Austin;TX;30.3054;-97.7497;RentLingo;1577359506
7604;5509151659;housing/rent/apartment;Charming Two BR, Two BA. Pet OK!;Square footage: 1115 square feet, unit number: D-301. community is located in the renowned and well recognized Howard County. Located right off 1, you will have convenient access to Baltimore, Ellicott City, Columbia, Hanover, and Catonsville. We are also near Baltimore-Washington International airport and only 5 minutes to the MARC station, which takes you to Washington, DC in only 30 minutes! In addition, Penniman is just moments from premier shopping and dining as well as nationally rated schools for all grade levels. Come out today and see the BEST Elkridge has to offer. Once you see our extra-large rooms, floor-to-ceiling sliding doors and uniquely designed windows you'll know you found your home. With us being 1 of the only apartment homes in Elkridge, MD with elevator access, we make living not only comfortable but convenient. Enjoy your down time by sparkling pool or pump-it-up with an exhilarating workout in our recently remodeled fitness facilities. Income Requirement: Must have 3.;Elevator,Gym,Parking,Pool;2;2;USD;No;Yes;Cats,Dogs;1606;$1,606;Monthly;1115;null;Elkridge;MD;39.2031;-76.7531;RentDigs.com;1568776418
636;5668632410;housing/rent/apartment;Studio apartment 1621 E. 6TH STREET;This unit is located at 1621 E. sixth STREET, Austin, 78702, TXMonthly rental rates range from $1684 - $2560We have studio - 2 beds units available for rent;Gym,Patio/Deck,Pool,Washer Dryer;1;2;USD;No;Thumbnail;None;1684;$1,684;Monthly;447;1621 E 6th St;Austin;TX;30.3054;-97.7497;RentLingo;1577359832
6133;5544558459;housing/rent/apartment;1652 SE 28th St 103;Condominium 2 Beds Apartment Spacious 2 Beds Apartment - close to supermarkets, shopping malls, banking institutions, bus transportation and movie theaters. For more properties like this visit GoSection8.com.;Garbage Disposal,Refrigerator;2;2;USD;No;No;null;1350;$1,350;Monthly;914;1652 SE 28th St 103;Homestead;FL;25.3801;-80.4041;GoSection8;1570656439
8197;5668624266;housing/rent/apartment;Three BR 441 Dillon Drive;This unit is located at 441 Dillon Drive, Douglasville, 30134, GAMonthly rental rates range from $1349We have 3 beds units available for rent Apartment features include:-- Fireplace- carpeting- Microwave- Dishwasher- Garage - Attached- Balcony, Deck, Patio;Dishwasher,Fireplace,Patio/Deck;2;3;USD;No;Thumbnail;Cats,Dogs;1349;$1,349;Monthly;1216;441 Dillon Dr;Douglasville;GA;33.7218;-84.7440;RentLingo;1577359228
2477;5668637897;housing/rent/apartment;One BR 4511 Twain Circle # 304;This unit is located at 4511 Twain Circle # 304, Ames, 50014, IAMonthly rental rates range from $825We have 1 beds units available for rent;null;1;1;USD;No;Thumbnail;Cats,Dogs;825;$825;Monthly;647;4511 Twain Cir  304;Ames;IA;42.0259;-93.6516;RentLingo;1577360188
8543;5659912660;housing/rent/apartment;Two BR 7770 Newbury Dr;This unit is located at 7770 Newbury Dr, Washington, 48094, MIMonthly rental rates range from $1395 - $1795We have two - three beds units available for rent;null;2.5;2;USD;No;Thumbnail;Cats,Dogs;1395;$1,395;Monthly;1310;7770 Newbury Drive;Washington;MI;42.7449;-83.0073;RentLingo;1576667382
4753;5668626133;housing/rent/apartment;One BR 10833 Wilshire Blvd;This unit is located at 10833 Wilshire Blvd, Los Angeles, 90024, CAMonthly rental rates range from $3047 - $5279We have one - three beds units available for rent;Clubhouse,Gym,Hot Tub,Pool;1;1;USD;No;Thumbnail;None;3047;$3,047;Monthly;792;10833 Wilshire Boulevard;Los Angeles;CA;34.0372;-118.2972;RentLingo;1577359357
